,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
22539,2019,4,11,20,3,2019/11/20,UA,UA,19977,UA,1260,,,,,UA,19977,UA,N81449,1260,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,755,746,-9,0,0,-1,0700-0759,103,929,1320,6,913,1326,253,253,1,16,0900-0959,0,,1,78,,,1,236,1,,,,,
23047,2019,4,11,20,3,2019/11/20,AA,AA,19805,AA,1366,,,,,AA,19805,AA,N122NN,1366,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,845,847,2,2,0,0,0800-0859,14,901,1328,6,1002,1334,212,212,1,14,1000-1059,0,,1,77,,,1,236,1,,,,,
29878,2018,4,11,29,4,2018/11/29,DL,DL_CODESHARE,19790,DL,5695,,,,,CP,21167,CP,N630CZ,5695,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1519,1654,95,95,1,6,1500-1559,16,1710,928,12,1637,940,1023,1023,1,68,1600-1659,0,,1,78,,,1,236,1,,,,,
31238,2018,4,10,27,6,2018/10/27,WN,WN,19393,WN,4448,,,,,WN,19393,WN,N217JC,4448,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,620,647,27,27,1,1,0600-0659,12,659,944,31,730,1015,165,165,1,11,0700-0759,0,,1,70,,,1,236,1,,,,,
31939,2018,4,10,26,5,2018/10/26,AA,AA,19805,AA,1555,,,,,AA,19805,AA,N907AA,1555,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1442,1436,-6,0,0,-1,1400-1459,24,1500,1714,7,1604,1721,77,77,1,5,1600-1659,0,,1,82,,,1,236,1,,,,,
35560,2018,3,8,11,6,2018/8/11,AS,AS,19930,AS,1490,,,,,AS,19930,AS,N839VA,1490,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1951,1956,5,5,0,0,1900-1959,21,2017,102,6,2110,108,238,238,1,15,2100-2159,0,,1,79,,,1,236,1,,,,,
38070,2018,3,7,12,4,2018/7/12,DL,DL_CODESHARE,19790,DL,3808,,,,,OO,20304,OO,N250SY,3808,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1102,1056,-6,0,0,-1,1100-1159,31,1127,1541,6,1229,1547,198,198,1,13,1200-1259,0,,1,87,,,1,236,1,,,,,
47332,2020,1,3,18,3,2020/3/18,DL,DL,19790,DL,2962,,,,,DL,19790,DL,N882DN,2962,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2105,2056,-9,0,0,-1,2100-2159,9,2105,142,5,2226,147,201,201,1,13,2200-2259,0,,1,81,,,1,236,1,,,,,
53024,2020,4,10,4,7,2020/10/4,DL,DL,19790,DL,1733,,,,,DL,19790,DL,N3744F,1733,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,609,604,-5,0,0,-1,0600-0659,9,613,915,10,718,925,127,127,1,8,0700-0759,0,,1,69,,,1,236,1,,,,,
53455,2020,4,10,4,7,2020/10/4,UA,UA_CODESHARE,19977,UA,5683,,,,,OO,20304,OO,N105SY,5683,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,615,608,-7,0,0,-1,0600-0659,12,620,842,6,727,848,81,81,1,5,0700-0759,0,,1,72,,,1,236,1,,,,,
55330,2020,4,12,28,1,2020/12/28,DL,DL_CODESHARE,19790,DL,3507,,,,,OO,20304,OO,N293SY,3507,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1355,1405,10,10,0,0,1300-1359,10,1415,1913,11,1511,1924,253,253,1,16,1500-1559,0,,1,76,,,1,236,1,,,,,
55904,2021,1,2,7,7,2021/2/7,UA,UA_CODESHARE,19977,UA,5239,,,,,OO,20304,OO,N625UX,5239,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,610,602,-8,0,0,-1,0600-0659,13,615,947,7,728,954,146,146,1,9,0700-0759,0,,1,78,,,1,236,1,,,,,
56865,2021,1,3,28,7,2021/3/28,UA,UA_CODESHARE,19977,UA,4742,,,,,OO,20304,OO,N167SY,4742,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,830,828,-2,0,0,-1,0800-0859,35,903,1222,6,946,1228,162,162,1,10,0900-0959,0,,1,76,,,1,236,1,,,,,
62383,2021,2,6,24,4,2021/6/24,DL,DL_CODESHARE,19790,DL,3637,,,,,OO,20304,OO,N300SY,3637,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1208,1204,-4,0,0,-1,1200-1259,27,1231,1624,4,1331,1628,177,177,1,11,1300-1359,0,,1,83,,,1,236,1,,,,,
66957,2021,3,9,17,5,2021/9/17,B6,B6,20409,B6,1079,,,,,B6,20409,B6,N639JB,1079,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,1308,1400,52,52,1,3,1300-1359,24,1424,2037,9,1415,2046,391,391,1,26,1400-1459,0,,1,67,,,1,236,1,,,,,
68032,2021,4,10,4,1,2021/10/4,WN,WN,19393,WN,3246,,,,,WN,19393,WN,N242WN,3246,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,2015,2021,6,6,0,0,2000-2059,10,2031,2348,24,2125,12,167,167,1,11,2100-2159,0,,1,70,,,1,236,1,,,,,
72502,2021,1,1,6,3,2021/1/6,UA,UA_CODESHARE,19977,UA,5239,,,,,OO,20304,OO,N154SY,5239,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,610,606,-4,0,0,-1,0600-0659,11,617,844,12,728,856,88,88,1,5,0700-0759,0,,1,78,,,1,236,1,,,,,
76945,2022,1,3,24,4,2022/3/24,AS,AS_CODESHARE,19930,AS,3339,,,,,OO,20304,OO,N185SY,3339,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,730,734,4,4,0,0,0700-0759,23,757,1105,19,842,1124,162,162,1,10,0800-0859,0,,1,72,,,1,236,1,,,,,
82199,2022,2,6,22,3,2022/6/22,NK,NK,20416,NK,875,,,,,NK,20416,NK,N935NK,875,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1624,1619,-5,0,0,-1,1600-1659,29,1648,2059,7,1743,2106,203,203,1,13,1700-1759,0,,1,79,,,1,236,1,,,,,
83462,2022,3,7,28,4,2022/7/28,DL,DL,19790,DL,2562,,,,,DL,19790,DL,N879DN,2562,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2030,2028,-2,0,0,-1,2000-2059,10,2038,10,8,2143,18,155,155,1,10,2100-2159,0,,1,73,,,1,236,1,,,,,
84532,2022,3,7,27,3,2022/7/27,WN,WN,19393,WN,1063,,,,,WN,19393,WN,N8566Z,1063,12892,1289208,32575,LAX,"Los Angeles, CA",CA,6,California,91,12889,1288903,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,1705,1843,98,98,1,6,1700-1759,18,1901,2257,4,1815,2301,286,286,1,19,1800-1859,0,,1,70,,,1,236,1,,,,,
