name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
los angeles,1/1/21,20.5,7.3,13.4,20.5,7.3,13.4,1.2,46.7,0,0,0,,0,0,,8.3,23.9,1018.7,1.2,13.9,135.5,11.7,6,,2021-01-01T06:58:47,2021-01-01T16:54:59,0.6,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/2/21,18.1,8.4,12.7,18.1,8.4,12.7,5,60.7,0,0,0,,0,0,,6.8,308,1023.4,8.3,15.6,121.5,10.5,5,,2021-01-02T06:58:57,2021-01-02T16:55:46,0.63,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/3/21,17,10.5,13.1,17,10.5,13.1,9.1,77.2,0,0,0,,0,0,,8.1,189.3,1022.3,46.9,11.7,113.5,9.9,6,,2021-01-03T06:59:06,2021-01-03T16:56:33,0.67,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/4/21,16.6,9.3,12.6,16.6,9.3,12.6,8.9,78.6,0,0,0,,0,0,,10,269.8,1021.1,19.5,12.1,127.9,11,5,,2021-01-04T06:59:12,2021-01-04T16:57:21,0.7,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/5/21,16.9,9.6,12.5,16.9,9.6,12.5,8.8,78.8,0,0,0,,0,0,,8.3,272.7,1019.7,31.4,8.8,119.1,10.3,5,,2021-01-05T06:59:16,2021-01-05T16:58:11,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,1/6/21,21.5,9.3,14.2,21.5,9.3,14.2,7,64.9,0,0,0,,0,0,,7.8,289.1,1019.1,2.4,13.8,121,10.3,6,,2021-01-06T06:59:19,2021-01-06T16:59:01,0.75,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,1/7/21,23.1,7.8,13.4,23.1,7.8,13.4,6,65.5,0,0,0,,0,0,,9,261.9,1018.2,2.6,14.1,115.3,9.9,5,,2021-01-07T06:59:20,2021-01-07T16:59:52,0.81,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/8/21,19.2,8.3,13.6,19.2,8.3,13.6,5.9,62.4,0,0,0,,0,0,51.8,13.4,341.4,1018.8,3.9,12.2,136.4,11.9,5,,2021-01-08T06:59:19,2021-01-08T17:00:44,0.84,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/9/21,23.2,10.1,15.4,23.2,10.1,15.4,2.9,46.6,0,0,0,,0,0,46.4,10,90,1017.5,1.3,14,137.7,12,6,,2021-01-09T06:59:16,2021-01-09T17:01:37,0.88,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/10/21,21.6,9,14.7,21.6,9,14.7,-1.6,35.8,0,0,0,,0,0,,10,318.4,1020.8,1.6,16,119.7,10.3,5,,2021-01-10T06:59:11,2021-01-10T17:02:31,0.92,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/11/21,23.1,8,14.7,23.1,8,14.7,-0.7,38.6,0,0,0,,0,0,,11.8,291.7,1021.2,1.5,16,144,12.4,6,,2021-01-11T06:59:04,2021-01-11T17:03:25,0.95,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/12/21,21.9,9.4,14.9,21.9,9.4,14.9,-0.9,37.1,0,0,0,,0,0,,9,6.8,1023.6,2,16,123.9,10.7,6,,2021-01-12T06:58:56,2021-01-12T17:04:20,0,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/13/21,23.4,9.3,15.4,23.4,9.3,15.4,1.2,43.2,0,0,0,,0,0,,7.9,308,1022.4,2,16,115.9,9.8,5,,2021-01-13T06:58:45,2021-01-13T17:05:16,0.02,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/14/21,27.8,10.6,17.8,26.6,10.6,17.8,3.8,43.3,0,0,0,,0,0,,6.5,296.6,1020.1,0.8,16,144.8,12.4,6,,2021-01-14T06:58:33,2021-01-14T17:06:12,0.05,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/15/21,30.9,12.1,20.2,28.8,12.1,19.8,1.4,33,0,0,0,,0,0,42.5,1.6,354.8,1018.4,0.8,16,147.7,12.7,6,,2021-01-15T06:58:19,2021-01-15T17:07:09,0.08,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/16/21,30.4,12.8,20,28.5,12.8,19.7,0.4,29.5,0,0,0,,0,0,,5.5,25.8,1014.2,1,15.9,143.5,12.4,6,,2021-01-16T06:58:03,2021-01-16T17:08:06,0.12,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/17/21,29.2,12.3,19.9,27.5,12.3,19.6,0.6,31.3,0,0,0,,0,0,,8,256.4,1014.3,0.4,16,148.2,13,6,,2021-01-17T06:57:45,2021-01-17T17:09:04,0.15,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/18/21,25.3,12.1,17.4,25.3,12.1,17.4,3.8,46,0,0,0,,0,0,,8,62.8,1009.2,17.2,14.7,148.1,13,6,,2021-01-18T06:57:26,2021-01-18T17:10:02,0.18,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/19/21,21.6,13.2,16.2,21.6,13.2,16.2,2.8,47.3,0,0,0,,0,0,66.6,22.5,64.5,1008.2,58,15.2,114.3,9.9,5,,2021-01-19T06:57:04,2021-01-19T17:11:00,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/20/21,24.5,12.4,18.1,24.5,12.4,18.1,2.3,36.1,0,0,0,,0,0,53.6,8.8,26.5,1013.5,2.3,16,145.8,12.7,6,,2021-01-20T06:56:41,2021-01-20T17:11:59,0.25,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,1/21/21,21,11.9,16.2,21,11.9,16.2,5.3,49.6,0,0,0,,0,0,,10.1,247.3,1016.1,0.7,15.8,149,12.9,6,,2021-01-21T06:56:16,2021-01-21T17:12:57,0.28,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/22/21,17,11.2,13.8,17,11.2,13.8,8,68.5,0,0,0,,0,0,31.7,11.2,195.9,1014.9,65.7,16,101.5,8.8,5,,2021-01-22T06:55:49,2021-01-22T17:13:57,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/23/21,12.6,8.8,10.5,12.6,8.3,10.4,6.3,75.5,9.713,100,62.5,rain,0,0,,7.9,61,1012.6,80,15.2,57.2,4.8,3,,2021-01-23T06:55:21,2021-01-23T17:14:56,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/24/21,15.4,6.1,10.6,15.4,6.1,10.6,5.2,71,0,0,0,,0,0,,14.4,273.2,1012.3,33.1,14,152.3,13.3,6,,2021-01-24T06:54:51,2021-01-24T17:15:55,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/25/21,12.7,6.7,9.9,12.7,6.7,9.9,1.9,60.1,8.662,100,25,rain,0,0,58,19.3,282,1007.4,48,15.1,138.7,11.9,6,,2021-01-25T06:54:19,2021-01-25T17:16:55,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,1/26/21,14.1,5,9.5,14.1,5,9.4,-2,46.6,0,0,0,,0,0,,11.1,326.5,1015.2,9.3,15.9,162.9,14,6,,2021-01-26T06:53:45,2021-01-26T17:17:54,0.44,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,F1624,72287493134,CQ070"
los angeles,1/27/21,15.8,9.8,12.1,15.8,8.5,11.7,2.6,52.7,0,0,0,,0,0,40.7,14.2,110.7,1020,64.8,16,96.2,8.2,4,,2021-01-27T06:53:10,2021-01-27T17:18:54,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,AT259,72295603167,72287493134,CQ070"
los angeles,1/28/21,17.7,7.8,12.5,17.7,7.8,12.5,4.7,62.2,19.488,100,16.67,rain,0,0,51.8,13.7,127,1014.5,41,14.3,148.1,12.9,6,,2021-01-28T06:52:33,2021-01-28T17:19:54,0.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,72295603167,F1624,72287493134,CQ070"
los angeles,1/29/21,12.3,8.7,10.7,12.3,7.5,10.6,7.1,78.9,22.267,100,58.33,rain,0,0,29.5,16.5,107.5,1014.5,78.5,13.9,61.2,5.3,3,,2021-01-29T06:51:55,2021-01-29T17:20:53,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KHHR,72295023174,KBUR,KCQT,SE428,AT259,72295603167,72287493134,CQ070"
los angeles,1/30/21,16.5,6.6,11.1,16.5,5.9,11.1,4.7,67,0,0,0,,0,0,,7.4,352.6,1021.1,0.8,16,169.4,14.6,6,,2021-01-30T06:51:15,2021-01-30T17:21:53,0.57,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,1/31/21,21.5,9.3,14.9,21.5,8.7,14.8,2.3,45.4,0,0,0,,0,0,,5.8,9.5,1020.1,2.7,16,113.9,9.9,5,,2021-01-31T06:50:33,2021-01-31T17:22:52,0.61,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,SE428,72295603167,F1624,72287493134,CQ070"
los angeles,2/1/21,21.8,14.4,17.2,21.8,14.4,17.2,4.7,45.2,0,0,0,,0,0,,7.7,24,1017.4,50.8,16,84.1,7.4,4,,2021-02-01T06:49:50,2021-02-01T17:23:52,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,SE428,72295603167,F1624,72287493134,CQ070"
los angeles,2/2/21,21.1,12.2,15.8,21.1,12.2,15.8,9.1,65.9,0,0,0,,0,0,25.9,10.5,269.1,1017.5,26.6,16,160.9,13.8,6,,2021-02-02T06:49:05,2021-02-02T17:24:51,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2/3/21,18.6,10,14.2,18.6,10,14.2,8.8,71.5,0,0,0,,0,0,,8.7,270.3,1017.3,7.3,15.6,160.3,13.8,6,,2021-02-03T06:48:19,2021-02-03T17:25:50,0.72,Clear,Clear conditions throughout the day.,clear-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
los angeles,2/4/21,18.6,12,14.4,18.6,12,14.4,8.5,68.8,0,0,0,,0,0,,8.5,297.7,1019.1,43.5,15.6,142.8,12.3,6,,2021-02-04T06:47:31,2021-02-04T17:26:49,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KHHR,72295023174,KBUR,KCQT,72295603167,F1624,72287493134,CQ070"
